|YEAR_MONTH             |MONTHLY_COUNT         |SMOOTH_COUNT          |
|-----------------------|----------------------|----------------------|
|200601                 |29572440              |28386088              |
|200602                 |27199736              |29621790              |
|200603                 |32093194              |2.9508623333333332E7  |
|200604                 |29232940              |2.9556930333333332E7  |
|200605                 |27344657              |3.0100400333333332E7  |
|200606                 |33723604              |3.0990886666666668E7  |
|200607                 |31904399              |3.3134952333333332E7  |
|200608                 |33776854              |3.2378029333333332E7  |
|200609                 |31452835              |32840998              |
|200610                 |33293305              |3.0849836333333332E7  |
|200611                 |27803369              |3.1206709666666668E7  |
|200612                 |32523455              |31679664              |
|200701                 |34712168              |3.2961422333333332E7  |
|200702                 |31648644              |3.4481458666666664E7  |
|200703                 |37083564              |33794018              |
|200704                 |32649846              |3.5171845333333336E7  |
|200705                 |35782126              |3.4308923333333336E7  |
|200706                 |34494798              |3.5344431333333336E7  |
|200707                 |35756370              |3.5655487333333336E7  |
|200708                 |36715294              |35158362              |
|200709                 |33003422              |3.5774714666666664E7  |
|200710                 |37605428              |3.5278211333333336E7  |
|200711                 |35225784              |3.6539248333333336E7  |
|200712                 |36786533              |3.6577464666666664E7  |
|200801                 |37720077              |3.6551631333333336E7  |
|200802                 |35148284              |36696291              |
|200803                 |37220512              |36473449              |
|200804                 |37051551              |3.7268565333333336E7  |
|200805                 |37533633              |3.7213043666666664E7  |
|200806                 |37053947              |3.8189623333333336E7  |
|200807                 |39981290              |38118465              |
|200808                 |37320158              |38617406              |
|200809                 |38550770              |38831845              |
|200810                 |40624607              |3.8313643666666664E7  |
|200811                 |35765554              |3.9812126666666664E7  |
|200812                 |43046219              |3.9026503666666664E7  |
|200901                 |38267738              |3.9437131333333336E7  |
|200902                 |36997437              |38977256              |
|200903                 |41666593              |3.9729461333333336E7  |
|200904                 |40524354              |4.0728440666666664E7  |
|200905                 |39994375              |4.1031222333333336E7  |
|200906                 |42574938              |4.1669715833333336E7  |
|200907                 |42439834.5            |4.1401858166666664E7  |
|200908                 |39190802              |4.1048731833333336E7  |
|200909                 |41515559              |4.1104816333333336E7  |
|200910                 |42608088              |4.1448787333333336E7  |
|200911                 |40222715              |4.2730410333333336E7  |
|200912                 |45360428              |4.1521180333333336E7  |
|201001                 |38980398              |40731102              |
|201002                 |37852480              |40719560              |
|201003                 |45325802              |41872594              |
|201004                 |42439500              |4.3082637333333336E7  |
|201005                 |41482610              |4.2933539666666664E7  |
|201006                 |44878509              |43315693              |
|201007                 |43585960              |4.4238907666666664E7  |
|201008                 |44252254              |43985650              |
|201009                 |44118736              |43975360              |
|201010                 |43555090              |4.4621222333333336E7  |
|201011                 |46189841              |4.5564870666666664E7  |
|201012                 |46949681              |45946798              |
|201101                 |44700872              |4.456982593332926E7   |
|201102                 |4.205892479998779E7   |4.535097559999593E7   |
|201103                 |49293130              |4.500832293332926E7   |
|201104                 |43672914              |4.6360111333333336E7  |
|201105                 |46114290              |4.6053971333333336E7  |
|201106                 |48374710              |4.6163436666666664E7  |
|201107                 |44001310              |46893080              |
|201108                 |48303220              |46363175              |
|201109                 |46784995              |46918425              |
|201110                 |45667060              |46017425              |
|201111                 |45600220              |46003570              |
|201112                 |46743430              |4.5753619666666664E7  |
|201201                 |44917209              |4.5030472333333336E7  |
|201202                 |43430778              |4.4619477333333336E7  |
|201203                 |45510445              |43849381              |
|201204                 |42606920              |4.4899984333333336E7  |
|201205                 |46582588              |44413199              |
|201206                 |44050089              |44925499              |
|201207                 |44143820              |44750583              |
|201208                 |46057840              |4.3720561666666664E7  |
|201209                 |40960025              |4.3772123333333336E7  |
|201210                 |44298505              |4.2869053333333336E7  |
|201211                 |43348630              |43118305              |
|201212                 |41707780              |43053415              |
|201301                 |44103835              |41365745              |
|201302                 |38285620              |40682513              |
|201303                 |39658084              |40088862              |
|201304                 |42322882              |41738896              |
|201305                 |43235722              |4.1568222666666664E7  |
|201306                 |39146064              |4.1835991666666664E7  |
|201307                 |43126189              |41297380              |
|201308                 |41619887              |4.0470698666666664E7  |
|201309                 |36666020              |3.9911435666666664E7  |
|201310                 |41448400              |3.8027203333333336E7  |
|201311                 |35967190              |38611436              |
|201312                 |38418718              |37425568              |
|201401                 |37890796              |36565589              |
|201402                 |33387253              |36187293              |
|201403                 |37283830              |3.5875929333333336E7  |
|201404                 |36956705              |3.7215836666666664E7  |
|201405                 |37406975              |3.7176707333333336E7  |
|201406                 |37166442              |3.8626275666666664E7  |
|201407                 |41305410              |3.9242652333333336E7  |
|201408                 |39256105              |40097955              |
|201409                 |39732350              |4.0183511666666664E7  |
|201410                 |41562080              |3.8927386666666664E7  |
|201411                 |35487730              |39755220              |
|201412                 |42215850              |38851790              |
